Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Other,Slight Injury,19,Evening,0,Medium,Low
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3.0,Going straight,Driver or rider,Male,31-50,3,Other,Slight Injury,11,Morning,0,Medium,Medium
Saturday,31-50,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,11,Morning,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,Unkown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,11,Morning,0,Medium,Medium
Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Passenger,Female,18-30,3,Overtaking,Slight Injury,11,Morning,0,Medium,Medium
Thursday,18-30,Male,High school,Employee,5-10yr,Public (12 seats),Organization,2-5yrs,Unkown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Going straight,Driver or rider,Male,31-50,3,No priority to pedestrian,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Tuesday,18-30,Unknown,Junior high school,Employee,Above 10yr,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,12,Afternoon,1,Medium,Low
Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,12,Afternoon,1,Medium,Low
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,12,Afternoon,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Overtaking,Slight Injury,12,Afternoon,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,Under 18,3,Other,Slight Injury,16,Afternoon,0,Medium,Low
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Organization,Above 10yr,Unkown, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving to the left,Slight Injury,16,Afternoon,0,Medium,Low
Monday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unkown,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Over 51,3,Driving at high speed,Slight Injury,18,Evening,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Passenger,Female,31-50,3,Unknown,Slight Injury,18,Evening,0,Medium,Low
Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Organization,5-10yrs,No defect, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Passenger,Female,31-50,3,Changing lane to the right,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,Driver or rider,Male,18-30,3,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Other,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,31-50,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,1-2yr,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,13,Afternoon,0,Medium,Low
Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Reversing,Passenger,Male,18-30,3,Changing lane to the left,Slight Injury,18,Evening,0,Medium,Low
Monday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,18,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Driver or rider,Male,18-30,3,Overtaking,Slight Injury,11,Morning,0,Medium,Medium
Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Driver or rider,Male,Over 51,3,Driving carelessly,Slight Injury,11,Morning,0,Medium,Medium
Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Bajaj,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,11,Morning,0,Medium,Medium
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,Unkown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Driver or rider,Female,31-50,3,No priority to pedestrian,Slight Injury,11,Morning,0,Medium,Medium
Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,5-10yrs,Unkown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Turnover,Pedestrian,Male,31-50,3,Changing lane to the right,Serious Injury,15,Afternoon,0,Medium,Low
Wednesday,Over 51,Unknown,Junior high school,Unknown,5-10yr,Automobile,Unknown,Unknown,Unkown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Female,18-30,3,Changing lane to the right,Slight Injury,20,Evening,0,Medium,Low
Sunday,Under 18,Male,High school,Owner,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,20,Evening,0,Medium,Low
